stopId,stop_name,lat,lon
21809131,Terminal Asa Sul - Plataforma 15,-15.83587345,-47.93264681
21806974,"ESPM - SPO, Lote 1 (Corpo de Bombeiros)",-15.83189327,-47.92887663
21807224,Eixo L Sul - EQS 214/215 (Metrô 114 Sul),-15.83153367,-47.91953534
21806025,Eixo L Sul - EQS 212/213 (Metrô 112 Sul - Parada 1),-15.82747216,-47.91392654
21812135,Eixo L Sul - EQS 210/211 (Metrô 110 Sul),-15.82367707,-47.90855024
21806263,Eixo L Sul - EQS 208/209 (Metrô 108 Sul - Parada 1),-15.8197511,-47.90324545
21812260,Eixo L Sul - EQS 206/207 (Metrô 106 Sul),-15.81600852,-47.89809352
21806292,Eixo L Sul - EQS 204/205 (Delegacia da Mulher - Parada 1),-15.81120987,-47.89283782
21806297,Eixo L Sul - EQS 202/203 (Metrô 102 Sul - Parada 1),-15.80627042,-47.88842292
21812214,"Eixo L Sul - SBS 3, Lote 33 (Banco Central)",-15.80250725,-47.88566533
21812223,Eixo L Sul - SBS 1 (oposto Galeria dos Estados),-15.79919729,-47.8838455
21811149,Eixo L Central em frente à Rodoviária do Plano Piloto - Parada 1,-15.79399235,-47.8819924
21806026,Eixo L Norte - SBN 1,-15.78886951,-47.88047934
21806031,Eixo L Norte - SAUN 4,-15.78477641,-47.87980545
21806030,Eixo L Norte - SQN 203,-15.77821781,-47.88000201
21806029,Eixo L Norte - SQN 205,-15.77176483,-47.88082721
21811925,Eixo L Norte - SQN 207,-15.76527498,-47.88230444
21806325,Eixo L Norte - SQN 209,-15.75904421,-47.88430833
21805338,Eixo L Norte - SQN 211,-15.75284136,-47.88628498
21806480,Eixo L Norte - SQN 213,-15.74663593,-47.88827309
21809352,Eixo L Norte - EQN 214/215,-15.74210341,-47.88971871
21809375,Eixo L Norte - SQN 216,-15.7376533,-47.89113229
21808720,"EPTT, km 1,1 norte - Entroncamento EPPN",-15.72337397,-47.89569412
21808716,"EPTT, km 0,4 norte - NR Córrego do Torto Polo Verde 1 (Floriculturas)",-15.7175987,-47.8980091
21811570,"EPIA, km 5,1 norte - Balão do Torto",-15.71302606,-47.89795255
21804256,"EPIA, km 2 sul - Taquari (Jerônimo / OBA / Drogasil)",-15.6963343,-47.87512578
21808893,"EPIA, km 1,4 norte - Taquari (Costa Atacadão / Supercei)",-15.69405806,-47.87042494
21808539,"EPIA, km 0,6 norte - Flamingo Shopping",-15.6907959,-47.8639556
21808889,"BR-020, km 0 norte - Posto Colorado",-15.68877927,-47.85853272
21806675,"BR-020, km 1,1 norte - Parque Rodoviário do DER",-15.68576021,-47.84890743
21806837,"BR-020, km 1,9 norte - Acesso Galpão 020 / IPEC / Res. Granville",-15.68346641,-47.84169356
21806655,"BR-020, km 2,7 norte - SHBV Império dos Nobres MC 1 Lote 31 (RK)",-15.68126886,-47.83512317
21806787,"BR-020, km 4,1 norte - oposto Condomínio Morada dos Nobres",-15.67553896,-47.8228092
21808545,"BR-020, km 5,2 norte - Entroncamento DF-425 (Condomínio Vivendas Serranas)",-15.67005984,-47.81481868
21806807,"BR-020, km 6,7 norte - Resende / Quadra 2",-15.6636471,-47.80257637
21806801,"BR-020, km 7,2 norte - Vila DNOCS / Quadra 2",-15.66180994,-47.79873242
21810074,"BR-020, km 7,7 norte - Setor de Expansão Econômica",-15.65952805,-47.7937937
21810086,"BR-020, km 8,4 norte - Churrascaria / Creche João de Barro",-15.65701489,-47.78834629
21810082,"BR-020, km 9 norte - Atacadão Dia a Dia / Estádio / Comper",-15.65461016,-47.78261981
21810093,"BR-020, km 10 norte - Quadras 14/16 (Viplan)",-15.65062799,-47.77449593
21810125,"BR-020, km 10,4 norte - Quadras 16/18",-15.6490205,-47.77103924
21809896,"BR-020, km 10,9 norte - Condomínio Nova Dignéia",-15.64703773,-47.76670742
21809891,"BR-020, km 11,5 norte - Condomínio Nova Colina",-15.64482698,-47.76194162
21809080,"BR-020, km 12 norte - oposto Condomínio Alto da Boa Vista",-15.64268728,-47.75732425
21804831,"BR-020, km 13,2 norte - NR Córrego do Arrozal",-15.63829087,-47.74783239
21804827,"BR-020, km 16,3 norte - Nova Petrópolis, Conjunto D (Pousada Alfama)",-15.62438638,-47.72218352
21808729,"BR-020, km 17,3 norte - Vila DVO Chácara 2",-15.62032327,-47.71491468
21812330,"BR-020, km 18,7 norte - Acesso Embrapa Cerrado e  Hospital Veterinário UPIS (Lado Oposto)",-15.61396233,-47.70352606
21809338,"BR-020, km 19,5 norte - Mestre d’Armas Quadra 18 Módulo 3",-15.61010172,-47.69662437
21809430,"BR-020, km 19,9 norte - Mestre d’Armas Quadra 18 Módulo 10 (Recanto do Sossego)",-15.60839056,-47.69351295
21809427,"BR-020, km 21 norte - Residencial Nova Esperança Quadra 1 (Passarela)",-15.60350925,-47.68478952
21809433,"BR-020, km 21,3 norte - Mansões Itiquira (Ultrabox)",-15.60191606,-47.68193122
21812420,"BR-020, km 21,5 norte - Mansões Itiquira (Posto Itiquira)",-15.60082034,-47.67995521
21812396,"BR-020, km 22 norte - Mansões Itiquira Módulo 14 (Entroncamento DF-128)",-15.59899874,-47.67643482
21810513,"DF-128, km 14,1 sul - Mansões Itiquira Módulo 13 (Hotel Barrigão)",-15.6000827,-47.67441118
21810521,"DF-128, km 14,5 sul - Mestre d’Armas 1 (Posto Shell)",-15.60308626,-47.67262259
21809076,"DF-128, km 15 sul - Mestre d’Armas 1 Módulo 2 (Paróquia Santa Luzia/antiga barreira)",-15.60680425,-47.67216124
21808947,"DF-128, km 15,4 sul - oposto Condomínio Sarandi",-15.6103728,-47.67214836
21808946,"DF-128, km 15,7 sul - Mestre d’Armas Quadra 12 Módulo 2 (Madeireira Goiaz)",-15.6129849,-47.67231612
21808944,"DF-128, km 16,3 sul - SH Mestre d'Armas, Estância 1, Módulo A",-15.61784548,-47.67255728
21812179,Av. Goiás (CAESB),-15.62056015,-47.67151925
21803854,"Av. Goiás - Setor Tradicional, Quadra 2",-15.62071751,-47.66821293
21812181,"Av. Maranhão - Setor Tradicional, Quadra 146, Lote 9",-15.62184329,-47.66319952
21811783,"Rua Bernardo Saião, Planaltina, CEP: 73310-303",-15.62398225,-47.66296953
29653988,"Avenida Floriano Peixoto, Planaltina, CEP: 73360-407",-15.62503591,-47.66087176
21812180,"Av. Floriano Peixoto - Setor Tradicional, Quadra 68A, Lote 2 (Quibe da Casa)",-15.62465199,-47.65914171
21811919,"Av. Mal. Deodoro - Av. Maranhão - Setor Tradicional, Quadra 79, Lote 14 (Supermercado Opção)",-15.6278522,-47.65920178
21808704,"Rua Pernambuco - Av. Maranhão - Setor Tradicional, Quadra 85, Lote 1",-15.62819017,-47.65719928
21809640,Rua D - Vila Vicentina Quadra 11 Lote 6,-15.62923127,-47.65380576
21809750,Av. Contorno - Vila Vicentina,-15.63015109,-47.65208157
21810760,Via WL-5,-15.62971458,-47.65096752
21810774,Via NS-1 - Vila Buritis EQ 5/6,-15.62735639,-47.65043289
21810775,"Via NS-1, Planaltina, CEP: 73360-407",-15.6251982,-47.65033892
21806952,Via WL-04 - Setor de Educação Quadra 1 Lote H (CRAS/oposto HRPL),-15.6240126,-47.65287123
21805155,"Av. Independência - Setor Comercial Central, Quadra 2, Lote K",-15.62351718,-47.65530384
21807955,"Av. Independência - Setor Comercial Central, Quadra 2 (CAESB)",-15.62058092,-47.65515531
21804800,Av. Independência - Setor de Hotéis e Diversões Lote O (Rodoviária),-15.61839501,-47.65499939
21804944,"Av. Independência - Setor Comercial Central, Quadra 1, Bloco G (Cartório Eleitoral/INSS/Caixa Econômica)",-15.61623013,-47.65492353
21808857,"Av. Independência - Setor Comercial Central, Quadra 1, Bloco A",-15.61312704,-47.65476182
21810913,"Planaltina, CEP: 73310-303",-15.61178296,-47.65149726
29653031,"Via NS-2, Planaltina, CEP: 73350-207",-15.61252967,-47.65014223
21809024,Via NS-1 - Setor Recreativo Cultural (Estádio Adonir Guimarães),-15.61487737,-47.65030756
29485260,"Via NS-2, Planaltina, CEP: 73350-207",-15.61884805,-47.65048395
21810888,Setor de Hotéis e Diversões Lote H - Casas Brasileiras,-15.61914308,-47.65158808
21810252,Terminal Rodoviário de Planaltina - Plataforma A5,-15.61852843,-47.654473
21803663,"Av. Independência - Setor Tradicional, Quadra 33, Lotes 6-8 (oposto Rodoviária)",-15.6182651,-47.65527517
21805003,"Avenida Independência, Planaltina, CEP: 73310-303",-15.6235382,-47.65556204
21806942,Via WL-04 - Setor Hospitalar (HRPL),-15.62434919,-47.65283191
21805547,Via NS-1- Setor Hospitalar (Posto de Saúde nº 1),-15.62500554,-47.65081461
21810298,Setor Hospitalar (próximo à Vila Vicentina),-15.62886576,-47.65176046
21809711,Rua Piauí - Vila Vicentina Quadra 3 Lote 13,-15.62737796,-47.65410761
21803890,"Rua Piauí - Av. Maranhão - Setor Tradicional, Quadra 68, Lote 22",-15.62620622,-47.65618307
21807046,"Av. Floriano Peixoto - Setor Tradicional, Quadra 61",-15.62450368,-47.65934377
29653987,"Avenida Floriano Peixoto, Planaltina, CEP: 73360-407",-15.62483396,-47.66073415
21811782,"Av. Maranhão - Setor Tradicional, oposto Quadra 153 (Praça São Sebastião)",-15.62410735,-47.66283272
21807058,"Av. Maranhão - Setor Tradicional, Quadra 58",-15.62167552,-47.66310013
21803884,"Av. Goiás - Setor Tradicional, oposto Quadra 2",-15.62052649,-47.66846195
21811806,Av. Goiás (oposto CAESB),-15.62032958,-47.67152536
21811304,"DF-128, km 16,3 norte - oposto SH Mestre d'Armas, Estância 1, Módulo A",-15.61810298,-47.6723633
21811019,"DF-128, km 15,6 norte - Condomínio Estância I",-15.61210972,-47.67202952
21810541,"DF-128, km 15,3 norte - Residencial Sarandi Módulo A",-15.60944375,-47.67192817
21811307,"DF-128, km 14,8 norte - Condomínio Estância Planaltina (Posto da PM)",-15.60583478,-47.67171213
21811309,"DF-128, km 14,5 norte - Condomínio Estância Planaltina (Posto de Combustível)",-15.60274037,-47.67257978
21810525,"DF-128, km 14,2 norte - oposto Mansões Itiquira Módulo 13 (Próximo ao Hotel Barrigão)",-15.60023334,-47.67407566
21810922,"BR-020, km 22 sul - oposto Mansões Itiquira Módulo 14 (Entroncamento DF-128)",-15.59860077,-47.6767769
21810910,"BR-020, km 21,5 sul - Condomínio Itiquira",-15.6005064,-47.68016961
21810905,"BR-020, km 21,2 sul - Condomínio Mestre d’Armas Módulo B",-15.60201479,-47.68283906
21810917,"BR-020, km 20,9 sul - Condomínio Mestre d'Armas Módulo E (Passarela)",-15.60341699,-47.68538161
21811184,"BR-020, km 19,8 sul - oposto Mestre d’Armas Quadra 18 Módulo 10 (Recanto do Sossego)",-15.60831064,-47.6941263
21811194,"BR-020, km 19,4 sul - oposto Mestre d’Armas Quadra 18 Módulo 3",-15.61020975,-47.69754537
21812437,"BR-020, 1550",-15.61429079,-47.70487441
21812428,"BR-020, km 17,2 sul - oposto Vila DVO Chácara 2",-15.62007453,-47.71527256
21812422,"BR-020, km 16,3 sul - oposto Condomínio Nova Petrópolis Conjunto D",-15.62391851,-47.72243516
21812476,"BR-020, km 13,4 sul - Acesso Estância Vila Rica/Córrego do Arrozal",-15.63748829,-47.74697178
21809349,"BR-020, km 12 sul - Condomínio Alto da Boa Vista",-15.64271533,-47.75824696
21810802,"BR-020, km 11,5 sul - oposto Condomínio Nova Colina",-15.64437632,-47.76182631
21805234,"BR-020, km 10,9 sul - Sobradinho Quadra 18",-15.64702178,-47.76760034
21805240,"Rodovia Presidente Juscelino Kubitschek, CEP: 73050-186",-15.6490102,-47.77191399
21805238,"Rodovia Presidente Juscelino Kubitschek, CEP: 73050-187",-15.64997115,-47.77397803
21805244,"Rodovia Presidente Juscelino Kubitschek, CEP: 73015-618",-15.65368517,-47.78313401
21805242,"Rodovia Presidente Juscelino Kubitschek, CEP: 73015-618",-15.65557011,-47.78676169
21810546,"BR-020, km 7,7 sul - Quadra 2",-15.65920838,-47.79401843
21810543,"BR-020, km 7,2 sul - Quadra 2 / Vila DNOCS",-15.6613837,-47.7986833
21810520,"BR-020, km 6,8 sul - Quadra 2 / Rezende",-15.66282031,-47.80199269
21806028,"BR-020, km 5,1 sul - Entroncamento DF-425 (Condomínio Vivendas Serranas)",-15.66962573,-47.81563585
21810415,CEP: 73252-114,-15.67501674,-47.82349312
21810409,"BR-020, km 2,7 sul - SHBV (Condomínio Império dos Nobres / RK)",-15.68032827,-47.83491162
21810423,"BR-020, km 1,8 sul - SHBV Residencial 2001 Conjunto A Lote 16 (Galpão 020 / IPEC / Residencial Granville)",-15.68294766,-47.84278049
21810491,"BR-020, km 1,2 sul - SH Café Planalto",-15.68461706,-47.84799732
21808887,"BR-020, km 0 sul - Balão do Colorado",-15.68719227,-47.85957849
21810936,"EPIA, km 1,3 sul - Taquari",-15.69329407,-47.86995685
21806720,"EPIA, km 5,2 sul - Balão do Torto",-15.71256061,-47.90063067
21805979,"EPTT, km 0,7 sul - Entroncamento EPCA",-15.72041143,-47.89773418
21805983,"EPTT, km 1,3 sul - Entroncamento EPPN",-15.72539462,-47.89603361
21809364,Eixo W Norte - SQN 116,-15.73800668,-47.89266147
21810524,Eixo W Norte - SQN 115 (UBS 2),-15.74085869,-47.8917644
21810797,Eixo W Norte - SQN 113,-15.74703263,-47.88975724
21810792,Eixo W Norte - SQN 111,-15.75324138,-47.88778039
21810807,Eixo W Norte - SQN 109,-15.75949994,-47.88579835
21810378,Eixo W Norte - SQN 107,-15.76572331,-47.88380591
21810481,Eixo W Norte - SQN 105,-15.77195677,-47.88236182
21810468,Eixo W Norte - SQN 103,-15.7783373,-47.88153603
21810537,Eixo W Norte - SMHN 1 (HRAN),-15.78475724,-47.88139871
21810702,Eixo W Norte - SCN 1,-15.78847127,-47.88198816
21804002,Eixo W Central com Eixo Monumental,-15.79377968,-47.8835235
21812255,Eixo W Sul - SCS 1 (Galeria dos Estados),-15.79868361,-47.88548046
21808237,"Eixo W Sul - SMHS 501, Área A (Hospital de Base)",-15.80175428,-47.88706107
21808247,Eixo W Sul - EQS 102/103 (Metrô 102 Sul),-15.80543646,-47.88982207
21808255,Eixo W Sul - EQS 104/105 (Delegacia da Mulher),-15.81024828,-47.8942372
